file,mean,std,min,max
C1_corona_10.bin,-7.721358106280885,1.3791369244698777,-18.9,0.2999999999999998
C1_corona_100.bin,-7.7311286362130796,1.3708165158593373,-18.7,0.4999999999999991
C1_corona_101.bin,-7.737328700540388,1.3175243714235954,-17.7,0.4999999999999991
C1_corona_102.bin,-7.740381087291508,1.301752782628045,-17.3,0.2999999999999998
C1_corona_103.bin,-7.71607678632294,1.3066917570212366,-20.1,-0.10000000000000053
C1_corona_104.bin,-7.729246162364043,1.3633664728215917,-17.7,1.2999999999999998
C1_corona_105.bin,-7.728054406980634,1.3034686331170633,-17.9,-0.2999999999999998
C1_corona_106.bin,-7.722263169096002,1.2858492333025606,-17.3,-0.5
C1_corona_107.bin,-7.716096728588363,1.3201762148494072,-16.9,0.4999999999999991
C1_corona_11.bin,-7.719714459562606,1.4017141098646906,-19.3,1.8999999999999995
C1_corona_12.bin,-7.73040337382328,1.400957759754543,-19.5,0.2999999999999998
C1_corona_13.bin,-7.716850494216134,1.381312370396783,-18.5,0.4999999999999991
C1_corona_14.bin,-7.7098017534791925,1.3745923876639072,-17.7,0.8999999999999995
C1_corona_15.bin,-7.726786742974001,1.3654440845445348,-18.5,1.4999999999999991
C1_corona_16.bin,-7.721424373808864,1.3555159783886788,-18.5,0.2999999999999998
C1_corona_17.bin,-7.715359704862472,1.3474788583516275,-17.3,0.8999999999999995
C1_corona_18.bin,-7.720145628543394,1.3518815071050967,-17.9,1.1000000000000005
C1_corona_19.bin,-7.7208974339485,1.3508509939896947,-18.5,1.8999999999999995
C1_corona_2.bin,-7.721101917177793,1.3700931196463428,-17.3,0.7000000000000002
C1_corona_20.bin,-7.722660674252601,1.3574384346919506,-20.1,0.2999999999999998
C1_corona_21.bin,-7.72168106296876,1.3678166637732863,-18.1,0.09999999999999964
C1_corona_22.bin,-7.725377902929768,1.3291530334743757,-18.1,0.2999999999999998
C1_corona_23.bin,-7.7321629937160985,1.3489230315898952,-18.5,1.4999999999999991
C1_corona_24.bin,-7.719737022125709,1.3872075806410258,-17.9,0.4999999999999991
C1_corona_25.bin,-7.719003178761106,1.4014724288464455,-18.1,-0.10000000000000053
C1_corona_26.bin,-7.719435127830526,1.4007014149623898,-18.3,0.8999999999999995
C1_corona_27.bin,-7.726759419870091,1.3146370960627323,-17.9,0.4999999999999991
C1_corona_28.bin,-7.722796369667594,1.4141985941711304,-18.3,1.4999999999999991
C1_corona_29.bin,-7.722962948590958,1.4150150163445432,-17.3,0.7000000000000002
C1_corona_3.bin,-7.73033144565223,1.3707370138811639,-19.1,0.2999999999999998
C1_corona_30.bin,-7.717518630116374,1.390919706370456,-17.7,0.4999999999999991
C1_corona_31.bin,-7.722906002121851,1.3704399233331184,-17.1,0.7000000000000002
C1_corona_32.bin,-7.727946114678634,1.386372328705987,-18.1,0.4999999999999991
C1_corona_33.bin,-7.722983250897302,1.3450492148857067,-18.1,-0.7000000000000002
